year,num_auctions,avg_yield_pct,min_yield_pct,max_yield_pct
1995,1,13.75,13.75,13.75
1997,2,13.35,13.05,13.65
1998,4,12.0925,11.9,12.25
1999,3,11.6867,11.48,11.99
2000,6,11.0033,10.26,11.69
2001,6,9.8417,9.22,10.67
2002,6,7.1783,6.72,7.72
2003,6,5.5287,4.62,5.9787
2004,5,5.5527,4.71,6.9872
2005,6,7.0953,6.9096,7.33
2006,8,7.8312,7.4323,8.29
2007,12,8.0874,7.8962,8.4395
2008,9,8.3886,7.5545,9.14
2009,31,6.8933,4.8557,7.9197
2010,18,7.5137,5.0214,8.1013
2011,32,8.5161,7.8,10.0148
2012,19,8.259,8.1035,8.6332
2013,25,6.7651,1.44,8.9368
2014,19,8.5482,7.9454,9.023
2015,28,7.7931,7.5404,8.0452
2016,19,7.1012,6.205,7.7025
2017,20,6.6955,6.4031,7.2646
2018,22,7.7196,7.149,8.0513
2019,26,7.0095,6.3476,7.6768
2020,22,5.9742,4.6916,6.6361
2021,19,6.173,5.8827,6.4034
2022,22,7.254,6.54,7.5232
2023,27,7.2036,6.9773,7.3648
2024,15,6.9619,6.754,7.1889
2025,13,6.4922,6.1969,6.7979
2026,4,6.7541,6.6147,6.9655
